filepath,filename,species,duration_sec,sample_rate,silence_ratio,rms,peak_amp,clipping_ratio,estimated_snr_db,active_segments,status,notes
E:\TUGAS AKHIR\dataset burung\download dataset\dataset\Geopelia striata\XC100267.mp3,XC100267.mp3,Geopelia striata,25.84,44100,0.001,0.010253652930259705,0.10294045507907867,0.0,50.0,1,PASS,OK
E:\TUGAS AKHIR\dataset burung\download dataset\dataset\Geopelia striata\XC100268.mp3,XC100268.mp3,Geopelia striata,31.63,44100,0.001,0.012487003579735756,0.12962934374809265,0.0,50.0,1,PASS,OK
E:\TUGAS AKHIR\dataset burung\download dataset\dataset\Geopelia striata\XC100269.mp3,XC100269.mp3,Geopelia striata,36.91,44100,0.001,0.009973814710974693,0.154477059841156,0.0,50.0,1,PASS,OK
E:\TUGAS AKHIR\dataset burung\download dataset\dataset\Geopelia striata\XC100270.mp3,XC100270.mp3,Geopelia striata,24.27,44100,0.002,0.02138184942305088,0.27561384439468384,0.0,50.0,1,PASS,OK
E:\TUGAS AKHIR\dataset burung\download dataset\dataset\Geopelia striata\XC100271.mp3,XC100271.mp3,Geopelia striata,16.69,44100,0.002,0.014708411879837513,0.14001700282096863,0.0,50.0,1,PASS,OK
E:\TUGAS AKHIR\dataset burung\download dataset\dataset\Geopelia striata\XC1003564.mp3,XC1003564.mp3,Geopelia striata,18.0,32000,0.0,0.013888799585402012,0.46390682458877563,0.0,50.0,1,PASS,OK
E:\TUGAS AKHIR\dataset burung\download dataset\dataset\Geopelia striata\XC1003565.mp3,XC1003565.mp3,Geopelia striata,4.63,32000,0.0,0.018821459263563156,0.46390682458877563,0.0,50.0,1,PASS,OK
E:\TUGAS AKHIR\dataset burung\download dataset\dataset\Geopelia striata\XC1003700.mp3,XC1003700.mp3,Geopelia striata,17.83,48000,0.0,0.08365001529455185,0.43770432472229004,0.0,50.0,1,PASS,OK
E:\TUGAS AKHIR\dataset burung\download dataset\dataset\Geopelia striata\XC1005545.mp3,XC1005545.mp3,Geopelia striata,22.79,32000,0.0,0.012212839908897877,0.05901074409484863,0.0,50.0,1,PASS,OK
E:\TUGAS AKHIR\dataset burung\download dataset\dataset\Geopelia striata\XC1009989.mp3,XC1009989.mp3,Geopelia striata,17.04,48000,0.0,0.0014304750366136432,0.01409696601331234,0.0,50.0,1,REJECT,Energi suara terlalu lemah (RMS kecil)
E:\TUGAS AKHIR\dataset burung\download dataset\dataset\Geopelia striata\XC1010542.mp3,XC1010542.mp3,Geopelia striata,17.5,48000,0.0,0.0008615302504040301,0.014119893312454224,0.0,50.0,1,REJECT,Energi suara terlalu lemah (RMS kecil)
E:\TUGAS AKHIR\dataset burung\download dataset\dataset\Geopelia striata\XC1029364.mp3,XC1029364.mp3,Geopelia striata,52.16,48000,0.097,0.009724016301333904,0.44183349609375,0.0,14.74,27,PASS,OK
E:\TUGAS AKHIR\dataset burung\download dataset\dataset\Geopelia striata\XC1047135.mp3,XC1047135.mp3,Geopelia striata,65.61,44100,0.0,0.01472396682947874,0.095672607421875,0.0,50.0,1,PASS,OK
E:\TUGAS AKHIR\dataset burung\download dataset\dataset\Geopelia striata\XC1048463.mp3,XC1048463.mp3,Geopelia striata,15.89,44100,0.0,0.000758725858759135,0.02394774928689003,0.0,50.0,1,REJECT,Energi suara terlalu lemah (RMS kecil)
E:\TUGAS AKHIR\dataset burung\download dataset\dataset\Geopelia striata\XC1051084.mp3,XC1051084.mp3,Geopelia striata,32.68,48000,0.002,0.03019513189792633,0.19513168931007385,0.0,50.0,1,PASS,OK
E:\TUGAS AKHIR\dataset burung\download dataset\dataset\Geopelia striata\XC1060825.mp3,XC1060825.mp3,Geopelia striata,40.2,48000,0.636,0.008636867627501488,0.2742699682712555,0.0,19.77,85,PASS,OK
E:\TUGAS AKHIR\dataset burung\download dataset\dataset\Geopelia striata\XC1060826.mp3,XC1060826.mp3,Geopelia striata,39.39,48000,0.543,0.038303595036268234,0.8686410188674927,0.0,23.93,98,PASS,OK
E:\TUGAS AKHIR\dataset burung\download dataset\dataset\Geopelia striata\XC1068442.mp3,XC1068442.mp3,Geopelia striata,42.05,44100,0.001,0.004672778304666281,0.10875646770000458,0.0,50.0,1,PASS,OK
E:\TUGAS AKHIR\dataset burung\download dataset\dataset\Geopelia striata\XC1075196.mp3,XC1075196.mp3,Geopelia striata,162.68,48000,0.593,0.009771296754479408,0.31151944398880005,0.0,22.61,267,PASS,OK
E:\TUGAS AKHIR\dataset burung\download dataset\dataset\Geopelia striata\XC1080637.mp3,XC1080637.mp3,Geopelia striata,0.94,48000,0.248,0.17609113454818726,1.00930917263031,8.903530249744024e-05,36.01,1,REJECT,Terlalu pendek (<3.0s)
E:\TUGAS AKHIR\dataset burung\download dataset\dataset\Geopelia striata\XC1081912.mp3,XC1081912.mp3,Geopelia striata,85.85,48000,0.197,0.029376454651355743,0.5840071439743042,0.0,18.24,226,PASS,OK
E:\TUGAS AKHIR\dataset burung\download dataset\dataset\Geopelia striata\XC1087832.mp3,XC1087832.mp3,Geopelia striata,11.86,16000,0.0,0.014130013063549995,0.1083984375,0.0,50.0,1,PASS,OK
