filename,spesies,frekuensi_dominan_hz,frekuensi_fundamental_hz
Geopelia striata_f100_c1.png,Geopelia striata,2276.29,207.05
Geopelia striata_f100_c1_rain.png,Geopelia striata,4050.02,825.91
Geopelia striata_f100_c1_wind.png,Geopelia striata,1409.61,205.27
Geopelia striata_f100_c2.png,Geopelia striata,1370.41,200.0
Geopelia striata_f100_c2_rain.png,Geopelia striata,3699.74,200.0
Geopelia striata_f100_c2_wind.png,Geopelia striata,1340.27,200.0
Geopelia striata_f100_c3.png,Geopelia striata,1342.73,200.0
Geopelia striata_f100_c3_rain.png,Geopelia striata,3653.2,200.0
Geopelia striata_f100_c3_wind.png,Geopelia striata,1295.77,200.0
Geopelia striata_f100_c4.png,Geopelia striata,1503.21,200.0
Geopelia striata_f100_c4_rain.png,Geopelia striata,3882.25,200.0
Geopelia striata_f100_c4_wind.png,Geopelia striata,1401.04,200.58
Geopelia striata_f100_c5.png,Geopelia striata,1655.94,200.0
Geopelia striata_f100_c5_rain.png,Geopelia striata,4461.94,842.82
Geopelia striata_f100_c5_wind.png,Geopelia striata,1391.92,212.51
Geopelia striata_f100_c6.png,Geopelia striata,1694.83,200.0
Geopelia striata_f100_c6_rain.png,Geopelia striata,4054.09,202.32
Geopelia striata_f100_c6_wind.png,Geopelia striata,1522.68,201.16
Geopelia striata_f100_c7.png,Geopelia striata,1033.26,200.0
Geopelia striata_f100_c7_rain.png,Geopelia striata,4594.96,204.09
Geopelia striata_f100_c7_wind.png,Geopelia striata,1348.26,200.0
Geopelia striata_f101_c1.png,Geopelia striata,1964.86,254.91
Geopelia striata_f101_c1_rain.png,Geopelia striata,3217.0,251.98
Geopelia striata_f101_c1_wind.png,Geopelia striata,1786.32,263.14
Geopelia striata_f101_c2.png,Geopelia striata,2105.73,274.79
Geopelia striata_f101_c2_rain.png,Geopelia striata,3997.26,264.67
Geopelia striata_f101_c2_wind.png,Geopelia striata,1978.74,284.48
Geopelia striata_f101_c3.png,Geopelia striata,1921.58,786.26
