id_xc,nama_ilmiah,nama_indonesia,negara,lokasi,kualitas,durasi,nama_file,status,alasan
XC1081912,Geopelia striata,Perkutut Jawa,Thailand,"Baan Maka Nature Lodge surroundings, Phetchaburi province",A,1:25,XC1081912.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC1068442,Geopelia striata,Perkutut Jawa,Thailand,"Lipa Noi (near  Koh Samui), Ko Samui District, Surat Thani",A,0:42,XC1068442.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC1060826,Geopelia striata,Perkutut Jawa,Seychelles,Praslin Island,A,0:39,XC1060826.mp3,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi (data berlebih)
XC1060825,Geopelia striata,Perkutut Jawa,Seychelles,Praslin Island,A,0:40,XC1060825.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC1029364,Geopelia striata,Perkutut Jawa,Singapore,Singapore,A,0:52,XC1029364.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC1005545,Geopelia striata,Perkutut Jawa,Thailand,"Khok Kham, Mueang Samut Sakhon District, Samut Sakhon",A,0:22,XC1005545.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC1003565,Geopelia striata,Perkutut Jawa,Thailand,"Red Boardwalk Bridge (near  Tambon Phanthai Norasing), Mueang Samut Sakhon District, Samut Sakhon",A,0:04,XC1003565.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC981577,Geopelia striata,Perkutut Jawa,Thailand,"Pha Chang Park, Wiang Chai District, Chiang Rai",A,0:15,XC981577.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC973914,Geopelia striata,Perkutut Jawa,Mauritius,"Trou-aux-Biches, Pamplemousses District",A,0:15,XC973914.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC950422,Geopelia striata,Perkutut Jawa,Thailand,"Krathum Rai (near  Bangkok), Nong Chok, Krung Thep Maha Nakhon",A,1:10,XC950422.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC942394,Geopelia striata,Perkutut Jawa,Malaysia,"Taman Alam, Kuala Selangor",A,0:15,XC942394.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC937966,Geopelia striata,Perkutut Jawa,Malaysia,"Bike and Tours Bed and Breakfast (near  Lahad Datu), Bahagian Tawau, Sabah",A,0:47,XC937966.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC871888,Geopelia striata,Perkutut Jawa,Thailand,"Wat Chalo (near  Tambon Bang Kruai), Amphoe Bang Kruai, Chang Wat Nonthaburi",A,0:17,XC871888.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC848443,Geopelia striata,Perkutut Jawa,Malaysia,"Sekinchan, Selangor",A,0:13,XC848443.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC844747,Geopelia striata,Perkutut Jawa,Thailand,"Ko Kret (near  Tambon Ko Kret), Amphoe Pak Kret, Chang Wat Nonthaburi",A,0:04,XC844747.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC844626,Geopelia striata,Perkutut Jawa,Thailand,"Benchakitti Park (near  Bangkok), Khlong Toei, Krung Thep Maha Nakhon",A,0:04,XC844626.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC830485,Geopelia striata,Perkutut Jawa,Mauritius,"Grand Gaube, Rivière du Rempart District",A,0:12,XC830485.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC830484,Geopelia striata,Perkutut Jawa,Mauritius,"Grand Gaube, Rivière du Rempart District",A,0:16,XC830484.mp3,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi (data berlebih)
XC830483,Geopelia striata,Perkutut Jawa,Mauritius,"Grand Gaube, Rivière du Rempart District",A,0:14,XC830483.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC788771,Geopelia striata,Perkutut Jawa,Malaysia,"Kota Kinabalu District (near  Kota Kinabalu), Bahagian Pantai Barat, Sabah",A,0:14,XC788771.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC784604,Geopelia striata,Perkutut Jawa,Thailand,"Petchaburi, Kaeng Krachan, Kum Nang Phaya Resort and environment",A,0:16,XC784604.mp3,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi (data berlebih)
XC783712,Geopelia striata,Perkutut Jawa,Thailand,Cha-am Forest Park,A,0:33,XC783712.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC618483,Geopelia striata,Perkutut Jawa,Malaysia,"SS 22, Petaling Jaya, Selangor",A,0:40,XC618483.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC616403,Geopelia striata,Perkutut Jawa,Thailand,"Tambon Lam Pho, Amphoe Bang Bua Thong, Chang Wat Nonthaburi",A,0:11,XC616403.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC598171,Geopelia striata,Perkutut Jawa,Thailand,"Lampang, Mueang Lampang District, Lampang",A,0:33,XC598171.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC589483,Geopelia striata,Perkutut Jawa,Seychelles,"Mahé, Baie Lazare",A,0:31,XC589483.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC588080,Geopelia striata,Perkutut Jawa,Mauritius,"Flic en Flac, Rivière Noire District",A,0:03,XC588080.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC207922,Geopelia striata,Perkutut Jawa,Mauritius,"Curepipe, Plaines Wilhems",A,1:10,XC207922.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC207921,Geopelia striata,Perkutut Jawa,Mauritius,"Curepipe, Plaines Wilhems",A,0:58,XC207921.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC207911,Geopelia striata,Perkutut Jawa,Mauritius,"Curepipe, Plaines Wilhems",A,0:11,XC207911.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC203391,Geopelia striata,Perkutut Jawa,Mauritius,"Curepipe, Plaines Wilhems",A,0:56,XC203391.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC203373,Geopelia striata,Perkutut Jawa,Mauritius,"Curepipe, Plaines Wilhems",A,0:57,XC203373.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
