id_xc,nama_ilmiah,nama_indonesia,nama_inggris,negara,lokasi,kualitas,jenis_suara,perekam,tanggal,durasi,url_halaman,nama_file,file_tersedia
XC1081912,Geopelia striata,Perkutut Jawa,Zebra Dove,Thailand,"Baan Maka Nature Lodge surroundings, Phetchaburi province",A,song,Arend Wassink,2025-11-23,1:25,https://xeno-canto.org/1081912,XC1081912.mp3,Ya
XC1068442,Geopelia striata,Perkutut Jawa,Zebra Dove,Thailand,"Lipa Noi (near  Koh Samui), Ko Samui District, Surat Thani",A,call,Jorge Leitão,2025-12-05,0:42,https://xeno-canto.org/1068442,XC1068442.mp3,Ya
XC1060826,Geopelia striata,Perkutut Jawa,Zebra Dove,Seychelles,Praslin Island,A,song,Dries Van de Loock,2025-11-06,0:39,https://xeno-canto.org/1060826,XC1060826.mp3,Ya
XC1060825,Geopelia striata,Perkutut Jawa,Zebra Dove,Seychelles,Praslin Island,A,"call, song",Dries Van de Loock,2025-11-06,0:40,https://xeno-canto.org/1060825,XC1060825.mp3,Ya
XC1029364,Geopelia striata,Perkutut Jawa,Zebra Dove,Singapore,Singapore,A,courtship,Joshua Chong,2025-08-16,0:52,https://xeno-canto.org/1029364,XC1029364.mp3,Ya
XC1005545,Geopelia striata,Perkutut Jawa,Zebra Dove,Thailand,"Khok Kham, Mueang Samut Sakhon District, Samut Sakhon",A,song,David Darrell-Lambert,2025-06-10,0:22,https://xeno-canto.org/1005545,XC1005545.mp3,Ya
XC1003565,Geopelia striata,Perkutut Jawa,Zebra Dove,Thailand,"Red Boardwalk Bridge (near  Tambon Phanthai Norasing), Mueang Samut Sakhon District, Samut Sakhon",A,display flight,David Darrell-Lambert,2025-06-01,0:04,https://xeno-canto.org/1003565,XC1003565.mp3,Ya
XC981577,Geopelia striata,Perkutut Jawa,Zebra Dove,Thailand,"Pha Chang Park, Wiang Chai District, Chiang Rai",A,call,Lim Ying Hien,2025-02-04,0:15,https://xeno-canto.org/981577,XC981577.mp3,Ya
XC973914,Geopelia striata,Perkutut Jawa,Zebra Dove,Mauritius,"Trou-aux-Biches, Pamplemousses District",A,song,Paul Wheeler,2024-08-13,0:15,https://xeno-canto.org/973914,XC973914.mp3,Ya
XC950422,Geopelia striata,Perkutut Jawa,Zebra Dove,Thailand,"Krathum Rai (near  Bangkok), Nong Chok, Krung Thep Maha Nakhon",A,song,David Darrell-Lambert,2024-08-04,1:10,https://xeno-canto.org/950422,XC950422.mp3,Ya
