xc_id,scientific_name,common_name_id,country,quality,duration,license_type,xc_url,split_note
XC1081912,Geopelia striata,Perkutut Jawa,Thailand,A,1:25,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://xeno-canto.org/1081912,Split determined at segment level (not recording level). Ratio: ~80% train / ~10% validation / ~10% test using random.seed(42) based on cumulative duration per species.
XC1068442,Geopelia striata,Perkutut Jawa,Thailand,A,0:42,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://xeno-canto.org/1068442,Split determined at segment level (not recording level). Ratio: ~80% train / ~10% validation / ~10% test using random.seed(42) based on cumulative duration per species.
XC1060825,Geopelia striata,Perkutut Jawa,Seychelles,A,0:40,https://creativecommons.org/licenses/by-nc-nd/4.0/,https://xeno-canto.org/1060825,Split determined at segment level (not recording level). Ratio: ~80% train / ~10% validation / ~10% test using random.seed(42) based on cumulative duration per species.
XC1029364,Geopelia striata,Perkutut Jawa,Singapore,A,0:52,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://xeno-canto.org/1029364,Split determined at segment level (not recording level). Ratio: ~80% train / ~10% validation / ~10% test using random.seed(42) based on cumulative duration per species.
XC1005545,Geopelia striata,Perkutut Jawa,Thailand,A,0:22,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://xeno-canto.org/1005545,Split determined at segment level (not recording level). Ratio: ~80% train / ~10% validation / ~10% test using random.seed(42) based on cumulative duration per species.
XC1003565,Geopelia striata,Perkutut Jawa,Thailand,A,0:04,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://xeno-canto.org/1003565,Split determined at segment level (not recording level). Ratio: ~80% train / ~10% validation / ~10% test using random.seed(42) based on cumulative duration per species.
XC981577,Geopelia striata,Perkutut Jawa,Thailand,A,0:15,https://creativecommons.org/licenses/by-nc-nd/4.0/,https://xeno-canto.org/981577,Split determined at segment level (not recording level). Ratio: ~80% train / ~10% validation / ~10% test using random.seed(42) based on cumulative duration per species.
XC973914,Geopelia striata,Perkutut Jawa,Mauritius,A,0:15,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://xeno-canto.org/973914,Split determined at segment level (not recording level). Ratio: ~80% train / ~10% validation / ~10% test using random.seed(42) based on cumulative duration per species.
XC950422,Geopelia striata,Perkutut Jawa,Thailand,A,1:10,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://xeno-canto.org/950422,Split determined at segment level (not recording level). Ratio: ~80% train / ~10% validation / ~10% test using random.seed(42) based on cumulative duration per species.
XC942394,Geopelia striata,Perkutut Jawa,Malaysia,A,0:15,https://creativecommons.org/licenses/by-nc-nd/4.0/,https://xeno-canto.org/942394,Split determined at segment level (not recording level). Ratio: ~80% train / ~10% validation / ~10% test using random.seed(42) based on cumulative duration per species.
